Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,56665176230.1267,47340766505.7714,50706611976.9277,47352237997.7247,52120721618.9704,55335343494.4005,60553129254.6569,64871856048.6408,70399897722.9848,78208083827.3208,85980015393.0808,96579784056.4528,107360420095.648,105389796184.852,110529153215.932,115192987613.943,118415506601.673,120390582830.266,126666999560.1,130542431386.34,141181370845.599,149881094499.499
Croatia,HRV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,39558632586.9201,42907433761.2446,44347372490.3736,44421324026.6851,47382792224.5424,49934338432.2617,54412453366.9133,58312864217.8732,62565142578.762,65962122298.9734,75136469913.7776,83418276337.1658,89540225094.673,86163299845.7496,84947236934.6695,88794707806.848,90200890789.3463,92643201029.3947,93507623759.9981,96740066017.0745,103823971398.974,110126512434.226
Czech Republic,CZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,150354643707.911,151750908250.946,153451617416.505,157590965153.011,166076931522.484,179349020434.32,185474094813.637,198032542823.473,212092065914.918,224201378156.886,243404083714.201,269036163173.588,289157145081.601,288463589224.797,290016958369.654,302260233093.211,305309362168.598,320535090730.576,339582593690.886,355311747821.274,379085413179.319,407774582307.656
Estonia,EST,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9726483064.86399,11149124704.3085,11696751242.4557,11705258558.7846,13183686617.8554,14334071471.3286,16097518329.2373,17987997014.2133,19786074394.2991,22523015210.7572,26006907483.4107,29721058984.5131,30525885461.1003,27509108593.9042,29043361374.095,32895237685.6919,34642139626.1105,36432844586.0068,38300194537.7593,38669190378.0171,41094057419.7484,44555137202.5778
Hungary,HUN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,96261028727.6453,101068327697.249,106750826042.741,111315201192.571,121077810763.972,134614287671.853,147567884018.729,156647558815.992,164028811074.495,172222023006.273,184705079194.291,191506485550.722,207757652349.402,207405963640.368,215860857902.379,228296184503.14,229637808205.604,242362495294.426,252630796804.085,262494273040.165,271844815110.907,289031874731.567
Lithuania,LTU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,22964402175.8402,25270202754.9848,27553343461.5084,27565323899.1938,29604692441.2476,32805212033.5297,36132747527.5176,41214452084.7705,44008465206.2913,48263291601.7483,53893968504.078,61698982117.4761,66344339088.5645,57437546514.3803,62112596122.8684,69113557960.608,73635737734.6153,78911079132.147,82564270189.9137,83730597415.0676,88699845604.0485,95659970670.1725
Latvia,LVA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,14192922395.2723,15730664530.2207,16985720475.9086,17666600811.7094,18981986127.8214,21077692575.5144,23223235583.3829,25192922036.7631,27608294804.0511,30977938494.0902,34922333588.0264,39883039015.2438,42383912499.5656,36273304547.5848,36917843177.9469,40760565612.312,43313156236.3567,45672616675.1123,47540328804.5663,49103820599.6763,51740645049.4547,55332554898.2565
Poland,POL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,318664573874.385,344761172304.934,366197753276.07,387468520811.944,407661970478.243,424633333696.279,450394072658.275,468286207442.492,509395066675.547,530344105654.599,577444544059.52,639920274330.447,698099544956.881,734838882078.915,801336653343.38,869769693309.293,907167369644.705,940325020076.099,973566357429.12,1020164418525.45,1073913831246.99,1144687674834.63
Slovak Republic,SVK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,50459305707.5984,54278281461.8849,57262506195.4346,57813914070.6221,61328111773.7871,66651011241.1851,71578545706.9555,76117131516.5072,81725881901.094,89400253225.0781,101503651409.687,113943752728.48,127626916993.841,124441129018.167,135710939711.011,140626782410.196,145644608377.499,151397294776.879,157095119197.712,162302480378.172,161031662510.308,168104392708.322
Slovenia,SVN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,28403008819.7608,30340741122.4503,31816542489.3629,33876855926.9704,35816494136.3765,37762067050.5781,40372329697.6097,42088620439.2036,45412642735.3912,47716592721.283,51555225746.2075,55582074447.6016,59839627541.6582,56221915503.3542,57043842484.3091,59391588537.9105,59745699109.9106,61744411397.5613,63653371400.3498,65283414434.9714,69939494147.2441,75734777836.5049
Romania,ROU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,129726167379.11,125449781642.99,124786017897.726,125764617171.877,131298437866.935,144333277362.683,155640626375.007,162923413411.478,192683212748.558,204714321191.562,244634640986.204,285801418466.91,344670356095.532,339074255743.772,343774014965.047,360793553463.052,379729439793.368,395625386029.925,410589026899.589,428644508899.66,479083448961.771,534706277347.015
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,
