DATE,HCIYISHRA066NRUG
1990-01-01,2.680584192276001
1991-01-01,2.7036807537078857
1992-01-01,2.726976156234741
1993-01-01,2.7504725456237793
1994-01-01,2.7741713523864746
1995-01-01,2.798074245452881
1996-01-01,2.820119857788086
1997-01-01,2.842339515686035
1998-01-01,2.864733934402466
1999-01-01,2.8873050212860107
2000-01-01,2.9100537300109863
2001-01-01,2.937701940536499
2002-01-01,2.9656128883361816
2003-01-01,2.993788957595825
2004-01-01,3.0222327709198
2005-01-01,3.0509469509124756
2006-01-01,3.0858302116394043
2007-01-01,3.121112585067749
2008-01-01,3.1567983627319336
2009-01-01,3.192892074584961
2010-01-01,3.229398488998413
2011-01-01,3.268047332763672
2012-01-01,3.3077619075775146
2013-01-01,3.348578691482544
2014-01-01,3.3905365467071533
2015-01-01,3.4336752891540527
2016-01-01,3.478036403656006
2017-01-01,3.5236642360687256
