DATE,HCIYISCZA066NRUG
1990-01-01,3.114391803741455
1991-01-01,3.165006637573242
1992-01-01,3.2164435386657715
1993-01-01,3.268716812133789
1994-01-01,3.3218393325805664
1995-01-01,3.3758254051208496
1996-01-01,3.414501905441284
1997-01-01,3.4536211490631104
1998-01-01,3.4931888580322266
1999-01-01,3.533209800720215
2000-01-01,3.5736892223358154
2001-01-01,3.58205246925354
2002-01-01,3.590435266494751
2003-01-01,3.5988376140594482
2004-01-01,3.607259750366211
2005-01-01,3.61570143699646
2006-01-01,3.6198322772979736
2007-01-01,3.6239678859710693
2008-01-01,3.628108501434326
2009-01-01,3.632253408432007
2010-01-01,3.6364033222198486
2011-01-01,3.640573740005493
2012-01-01,3.644754409790039
2013-01-01,3.648944854736328
2014-01-01,3.6531457901000977
2015-01-01,3.6573569774627686
2016-01-01,3.6615781784057617
2017-01-01,3.6658101081848145
