DATE,HCIYISEEA066NRUG
1990-01-01,2.798409938812256
1991-01-01,2.8435614109039307
1992-01-01,2.88944149017334
1993-01-01,2.936061382293701
1994-01-01,2.983433961868286
1995-01-01,3.0315706729888916
1996-01-01,3.083890438079834
1997-01-01,3.137112855911255
1998-01-01,3.191254138946533
1999-01-01,3.2463295459747314
2000-01-01,3.3023555278778076
2001-01-01,3.31723690032959
2002-01-01,3.3321855068206787
2003-01-01,3.347201347351074
2004-01-01,3.3622848987579346
2005-01-01,3.377436399459839
2006-01-01,3.396261215209961
2007-01-01,3.415191173553467
2008-01-01,3.4342265129089355
2009-01-01,3.4533679485321045
2010-01-01,3.472615957260132
2011-01-01,3.4923617839813232
2012-01-01,3.5123534202575684
2013-01-01,3.5325937271118164
2014-01-01,3.5530872344970703
2015-01-01,3.5738375186920166
2016-01-01,3.594849109649658
2017-01-01,3.6161255836486816
