DATE,HCIYISHUA066NRUG
1970-01-01,2.4364161491394043
1971-01-01,2.4609792232513428
1972-01-01,2.4857897758483887
1973-01-01,2.510850429534912
1974-01-01,2.536163806915283
1975-01-01,2.5611603260040283
1976-01-01,2.5785157680511475
1977-01-01,2.595989227294922
1978-01-01,2.6135807037353516
1979-01-01,2.631291627883911
1980-01-01,2.649122476577759
1981-01-01,2.6641783714294434
1982-01-01,2.6793198585510254
1983-01-01,2.694547414779663
1984-01-01,2.7098615169525146
1985-01-01,2.725262403488159
1986-01-01,2.740751028060913
1987-01-01,2.7563276290893555
1988-01-01,2.7719929218292236
1989-01-01,2.7877471446990967
1990-01-01,2.803590774536133
1991-01-01,2.8190548419952393
1992-01-01,2.834604263305664
1993-01-01,2.8502395153045654
1994-01-01,2.8659608364105225
1995-01-01,2.8817689418792725
1996-01-01,2.8976643085479736
1997-01-01,2.913647413253784
1998-01-01,2.929718494415283
1999-01-01,2.945878028869629
2000-01-01,2.962127208709717
2001-01-01,2.9919886589050293
2002-01-01,3.022151470184326
2003-01-01,3.0526182651519775
2004-01-01,3.0833921432495117
2005-01-01,3.114476203918457
2006-01-01,3.145873785018921
2007-01-01,3.1775879859924316
2008-01-01,3.2096216678619385
2009-01-01,3.241978406906128
2010-01-01,3.274661064147949
2011-01-01,3.290193796157837
2012-01-01,3.305800437927246
2013-01-01,3.3214809894561768
2014-01-01,3.337235927581787
2015-01-01,3.3530654907226562
2016-01-01,3.3689701557159424
2017-01-01,3.3849503993988037
