DATE,HCIYISPLA066NRUG
1970-01-01,2.3004581928253174
1971-01-01,2.3328070640563965
1972-01-01,2.3656108379364014
1973-01-01,2.3988759517669678
1974-01-01,2.4326088428497314
1975-01-01,2.466815948486328
1976-01-01,2.4726274013519287
1977-01-01,2.478452682495117
1978-01-01,2.4842917919158936
1979-01-01,2.4901444911956787
1980-01-01,2.4960110187530518
1981-01-01,2.522981882095337
1982-01-01,2.5502443313598633
1983-01-01,2.571965456008911
1984-01-01,2.5906436443328857
1985-01-01,2.6094577312469482
1986-01-01,2.6335604190826416
1987-01-01,2.657885789871216
1988-01-01,2.682435989379883
1989-01-01,2.7072129249572754
1990-01-01,2.7322185039520264
1991-01-01,2.764779567718506
1992-01-01,2.7977283000946045
1993-01-01,2.8310699462890625
1994-01-01,2.864809036254883
1995-01-01,2.8989500999450684
1996-01-01,2.9225142002105713
1997-01-01,2.946269989013672
1998-01-01,2.9702186584472656
1999-01-01,2.9943623542785645
2000-01-01,3.0187020301818848
2001-01-01,3.0383267402648926
2002-01-01,3.0580790042877197
2003-01-01,3.0779597759246826
2004-01-01,3.0979697704315186
2005-01-01,3.118109703063965
2006-01-01,3.140255928039551
2007-01-01,3.1625592708587646
2008-01-01,3.185021162033081
2009-01-01,3.2076425552368164
2010-01-01,3.230424642562866
2011-01-01,3.2540197372436523
2012-01-01,3.278010845184326
2013-01-01,3.302406072616577
2014-01-01,3.327214002609253
2015-01-01,3.352443218231201
2016-01-01,3.378103017807007
2017-01-01,3.404202461242676
