DATE,HCIYISSKA066NRUG
1990-01-01,3.087144613265991
1991-01-01,3.114013671875
1992-01-01,3.1411163806915283
1993-01-01,3.168454885482788
1994-01-01,3.196031332015991
1995-01-01,3.2238478660583496
1996-01-01,3.2295522689819336
1997-01-01,3.235267162322998
1998-01-01,3.2409915924072266
1999-01-01,3.2467265129089355
2000-01-01,3.252471446990967
2001-01-01,3.299450159072876
2002-01-01,3.3471076488494873
2003-01-01,3.395453453063965
2004-01-01,3.444497585296631
2005-01-01,3.4942498207092285
2006-01-01,3.5176374912261963
2007-01-01,3.5411813259124756
2008-01-01,3.564882755279541
2009-01-01,3.588742971420288
2010-01-01,3.612762928009033
2011-01-01,3.637505531311035
2012-01-01,3.662609577178955
2013-01-01,3.688081741333008
2014-01-01,3.7139289379119873
2015-01-01,3.7401578426361084
2016-01-01,3.766775608062744
2017-01-01,3.7937896251678467
